"","Jurkat","KMBC2","MCF7","231"
"O43490",0.0884,-0.643,-0.145,-0.35
"O43491",-1.49,-2.45,0.764,-2.44
"O43493",0.0884,-0.643,-0.145,-0.35
"O43502",-4.07,-4.38,-2.38,-2.43
"O43516",-3.94,-0.886,-3.79,0.0026
"O43520",0.0884,-3.81,-1.12,-1.15
"O43524",0.0884,-5.98,-2.34,-6.58
"O43542",-2.16,-2.68,-4.02,-4.92
"O43566",-5.75,-0.643,-0.145,-0.35
"O43570",0.0884,0.879,-0.145,-0.35
"O43572",0.0884,-0.983,-0.145,-1.13
"O43581",0.0884,-0.643,-1.36,-0.35
"O43583",-2.16,-4.29,-1.19,-2.3
"O43592",-4.18,-3.13,-1.44,-3.24
"O43609",0.0884,-0.643,-0.145,-2.47
"O43615",-0.159,-2.03,1.01,-1.5
"O43617",-4.43,-2.61,-1.77,-3.33
"O43623",0.0884,-4.02,-0.145,-3.61
"O43633",-2.53,-1.12,-2.05,-1.9
"O43639",-2.73,-2.22,-0.0572,-2.19
"O43660",-2.7,-2.48,-0.733,-2.14
"O43663",-3.94,-3.13,-1.42,-2.03
"O43665",-3.87,-0.643,-1.9,-3.11
"O43670",-2.71,-1.6,-1.64,-2.59
"O43674",-0.921,-0.39,1.91,0.887
"O43676",0.0884,-0.225,1.09,-0.423
"O43678",-0.684,-1,0.349,-0.298
"O43681",-2.79,-3.21,-0.214,-1.79
"O43683",-5.46,-4.07,-0.145,-6.42
"O43684",-2.79,-2.65,-1.45,-2.83
"O43688",0.0884,-0.231,1.63,1.47
"O43707",-0.432,-1.91,-0.0631,-0.95
"O43707;P12814",-0.86,-1.98,0.111,-1.1
"O43707;P35609;P12814",-0.751,-3.19,-0.239,-1.38
"O43707;Q08043;P35609;P12814",-0.482,-1.7,0.173,-1.13
"O43708",-0.992,-1.31,-0.672,-0.966
"O43709",-2.13,-3.69,-0.863,-2.48
"O43719",-3.57,-2.27,-0.781,-2.9
"O43731",0.0884,-1.53,-0.145,-0.377
"O43734",0.0884,-2.65,-4.51,-3.33
"O43741",0.0884,-3.21,-1.06,-1.89
"O43747",-3.29,-1.39,-0.412,-0.396
"O43752",0.145,-0.508,-2.76,-0.117
"O43760",-1.69,2.2,1.69,-0.186
"O43765",-2.69,-3.64,-0.661,-2.79
"O43768",-1.84,-2.85,-1.47,-1.08
"O43772",0.0884,-0.643,-0.145,-0.35
"O43776",-1.15,-1.63,-0.195,-1.15
"O43791",-0.968,-5.6,-6.05,-5.5
"O43795",-1.97,-1.84,-0.768,-1.03
"O43795;Q9UBC5",-3.83,-2.01,-0.999,-1.48
"O43805",-4.61,-3.13,0.288,-2.77
"O43809",-1.56,-1.22,-0.624,-1.07
"O43813",-3.59,-2.92,-2.13,-2.5
"O43815",-3.67,-3.42,-0.332,-0.772
"O43818",-2.06,-2.57,-0.965,-1.24
"O43819",0.0884,-0.643,-1.34,-0.35
"O43822",-4.04,-4.07,-0.145,-0.35
"O43823",-3.11,-3.2,-1.74,-2.18
"O43837",-0.963,-1.89,-0.389,0.253
"O43847",-2.22,-3.6,-0.234,-3.29
"O43852",-1.23,-2.47,0.121,-0.0719
"O43861",0.0884,-0.643,-0.145,-0.35
"O43865",-2.12,-1.61,-2.4,-1.5
